"Name","Activity type","Description"
"08/27/2012 11:54pm","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.424124","-122.171179","19.398155212402344","0.0","64","0","2012-08-28T06:54:54.568Z",,,,
"1","2","37.424252","-122.171281","17.350749969482422","0.0","32","0","2012-08-28T06:54:55.546Z",,,,
"1","3","37.424252","-122.171281","17.350749969482422","0.0","32","0","2012-08-28T06:54:55.546Z",,,,
"1","4","37.424252","-122.171281","-15.199037551879883","0.0","8","0","2012-08-28T06:55:26.999Z",,,,
"1","5","37.42428","-122.171229","-15.148808479309082","0.0","12","0","2012-08-28T06:55:32.999Z",,,,
"1","6","37.424249","-122.171181","-15.141246795654297","0.0","6","0","2012-08-28T06:55:47.999Z",,,,
"1","7","37.424225","-122.171128","-14.549607276916504","0.0","8","0","2012-08-28T06:56:17.000Z",,,,
"1","8","37.424212","-122.171191","-12.719789505004883","0.0","6","0","2012-08-28T06:56:48.000Z",,,,
"1","9","37.424224","-122.171246","-10.139775276184082","0.0","8","0","2012-08-28T06:57:35.000Z",,,,
"1","10","37.424198","-122.171293","-9.165157318115234","0.0","8","0","2012-08-28T06:57:58.000Z",,,,
"1","11","37.42424","-122.171316","-7.3808817863464355","0.0","8","0","2012-08-28T06:58:52.000Z",,,,
"1","12","37.424217","-122.171265","-5.630916595458984","0.0","8","0","2012-08-28T06:59:39.000Z",,,,
"1","13","37.424255","-122.171297","-4.137829303741455","0.0","8","0","2012-08-28T07:00:59.000Z",,,,
"1","14","37.424268","-122.171241","-4.429943561553955","0.0","6","0","2012-08-28T07:01:29.000Z",,,,
"1","15","37.42431","-122.171266","-4.940053939819336","0.0","8","0","2012-08-28T07:02:25.000Z",,,,
"1","16","37.424264","-122.171252","-6.516668796539307","0.0","12","0","2012-08-28T07:03:17.000Z",,,,
"1","17","37.424247","-122.171198","-6.211177825927734","0.0","8","0","2012-08-28T07:03:39.000Z",,,,
"1","18","37.424288","-122.171223","-5.876559734344482","0.0","6","0","2012-08-28T07:04:00.000Z",,,,
"1","19","37.424321","-122.171261","-5.850126266479492","0.0","8","0","2012-08-28T07:04:23.000Z",,,,
"1","20","37.424343","-122.17131","-5.958226680755615","0.0","6","0","2012-08-28T07:04:38.000Z",,,,
"1","21","37.424304","-122.171279","-5.634727478027344","0.0","8","0","2012-08-28T07:05:28.000Z",,,,
"1","22","37.424345","-122.171242","-3.832010507583618","0.0","8","0","2012-08-28T07:06:24.000Z",,,,
"1","23","37.424293","-122.171224","-2.856198787689209","0.0","4","0","2012-08-28T07:06:34.000Z",,,,
"1","24","37.424244","-122.171226","-2.232600212097168","0.0","8","0","2012-08-28T07:08:08.000Z",,,,
"1","25","37.424276","-122.171186","0.5884186029434204","0.0","8","0","2012-08-28T07:09:14.000Z",,,,
"1","26","37.424268","-122.171242","1.8038091659545898","0.0","6","0","2012-08-28T07:09:46.000Z",,,,
"1","27","37.424223","-122.171221","1.8576735258102417","0.0","8","0","2012-08-28T07:10:25.000Z",,,,
"1","28","37.424268","-122.171228","2.3871877193450928","0.0","8","0","2012-08-28T07:11:06.000Z",,,,
"1","29","37.424303","-122.171193","2.345845937728882","0.0","12","0","2012-08-28T07:11:56.000Z",,,,
"1","30","37.424255","-122.171199","1.263414978981018","0.0","6","0","2012-08-28T07:12:37.000Z",,,,
"1","31","37.424296","-122.171224","0.4582460820674896","0.0","12","0","2012-08-28T07:13:05.000Z",,,,
"1","32","37.424274","-122.171167","0.1738937795162201","0.0","8","0","2012-08-28T07:13:35.000Z",,,,
"1","33","37.424242","-122.171124","0.1385921835899353","0.0","8","0","2012-08-28T07:13:47.000Z",,,,
"1","34","37.424194","-122.17114","0.4046197533607483","0.0","12","0","2012-08-28T07:14:19.000Z",,,,
"1","35","37.424187","-122.171195","1.084485411643982","0.0","8","0","2012-08-28T07:14:40.000Z",,,,
"1","36","37.424233","-122.171193","1.2109624147415161","0.0","8","0","2012-08-28T07:14:50.000Z",,,,
"1","37","37.424272","-122.171228","1.2973848581314087","0.0","8","0","2012-08-28T07:15:00.000Z",,,,
"1","38","37.424255","-122.171175","1.5826892852783203","0.0","6","0","2012-08-28T07:16:15.000Z",,,,
"1","39","37.424286","-122.171215","1.0138131380081177","0.0","6","0","2012-08-28T07:17:05.000Z",,,,
"1","40","37.424242","-122.171193","1.0715903043746948","0.0","4","0","2012-08-28T07:17:32.000Z",,,,
"1","41","37.424203","-122.171158","1.6545500755310059","0.0","6","0","2012-08-28T07:17:42.000Z",,,,
"1","42","37.424239","-122.171117","3.405961275100708","0.0","8","0","2012-08-28T07:18:13.000Z",,,,
"1","43","37.424281","-122.171144","3.6100783348083496","0.0","8","0","2012-08-28T07:18:20.000Z",,,,
"1","44","37.424315","-122.171192","3.4687750339508057","0.0","8","0","2012-08-28T07:18:28.000Z",,,,
"1","45","37.424339","-122.171241","3.0080249309539795","0.0","12","0","2012-08-28T07:18:35.000Z",,,,
"1","46","37.424379","-122.171207","2.3997907638549805","0.0","8","0","2012-08-28T07:18:51.000Z",,,,
"1","47","37.424413","-122.171167","0.8440468907356262","0.0","6","0","2012-08-28T07:19:09.000Z",,,,
"1","48","37.424459","-122.171164","-1.6514625549316406","0.0","8","0","2012-08-28T07:19:31.000Z",,,,
"1","49","37.424413","-122.171165","-3.9144747257232666","0.0","16","0","2012-08-28T07:20:01.000Z",,,,
"1","50","37.424386","-122.171215","-4.490814685821533","0.0","8","0","2012-08-28T07:20:12.000Z",,,,
"1","51","37.42435","-122.171258","-4.8058648109436035","0.0","6","0","2012-08-28T07:20:19.000Z",,,,
"1","52","37.424303","-122.171265","-5.042093276977539","0.0","8","0","2012-08-28T07:20:28.000Z",,,,
"1","53","37.42426","-122.171285","-5.278687953948975","0.0","6","0","2012-08-28T07:20:48.000Z",,,,
"1","54","37.424269","-122.171226","-5.441088676452637","0.0","12","0","2012-08-28T07:21:00.000Z",,,,
"1","55","37.424223","-122.171242","-3.8411741256713867","0.0","6","0","2012-08-28T07:21:53.000Z",,,,
"1","56","37.424268","-122.171218","-4.9740705490112305","0.0","8","0","2012-08-28T07:22:29.000Z",,,,
"1","57","37.4243","-122.171257","-5.568490982055664","0.0","8","0","2012-08-28T07:22:57.000Z",,,,
"1","58","37.424343","-122.171273","-6.7900567054748535","0.0","6","0","2012-08-28T07:23:22.000Z",,,,
"1","59","37.424391","-122.171264","-7.447708606719971","0.0","8","0","2012-08-28T07:23:32.000Z",,,,
"1","60","37.424348","-122.171237","-7.476199150085449","0.0","8","0","2012-08-28T07:24:09.000Z",,,,
"1","61","37.424314","-122.171275","-6.961572647094727","0.0","8","0","2012-08-28T07:24:19.999Z",,,,
"1","62","37.424267","-122.171276","-5.776970863342285","0.0","24","0","2012-08-28T07:24:35.999Z",,,,
"1","63","37.424222","-122.171265","-4.12351655960083","0.0","8","0","2012-08-28T07:25:08.999Z",,,,
"1","64","37.424228","-122.171204","-3.529838800430298","0.0","8","0","2012-08-28T07:25:24.999Z",,,,
"1","65","37.424272","-122.171183","-3.514416217803955","0.0","12","0","2012-08-28T07:25:35.999Z",,,,
"1","66","37.424227","-122.1712","-1.7146682739257813","0.0","8","0","2012-08-28T07:26:57.999Z",,,,
"1","67","37.424193","-122.171241","-1.1058621406555176","0.0","12","0","2012-08-28T07:27:12.999Z",,,,
"1","68","37.424228","-122.171196","-0.925463855266571","0.0","6","0","2012-08-28T07:27:53.999Z",,,,
"1","69","37.424273","-122.171179","-1.1795490980148315","0.0","6","0","2012-08-28T07:28:00.999Z",,,,
"1","70","37.424314","-122.171156","-1.717481017112732","0.0","6","0","2012-08-28T07:28:12.999Z",,,,
"1","71","37.424269","-122.171182","-2.145169258117676","0.0","8","0","2012-08-28T07:28:28.999Z",,,,
"1","72","37.424226","-122.171208","-1.8776156902313232","0.0","8","0","2012-08-28T07:28:41.999Z",,,,
"1","73","37.424184","-122.17123","-1.267318606376648","0.0","12","0","2012-08-28T07:29:05.999Z",,,,
"1","74","37.424233","-122.171236","-0.8519096374511719","0.0","6","0","2012-08-28T07:29:30.999Z",,,,
"1","75","37.424273","-122.171262","-0.4949217140674591","0.0","6","0","2012-08-28T07:30:31.999Z",,,,
"1","76","37.42431","-122.171223","-0.41668006777763367","0.0","8","0","2012-08-28T07:30:48.999Z",,,,
"1","77","37.424312","-122.17128","-0.8226975202560425","0.0","8","0","2012-08-28T07:31:27.999Z",,,,
"1","78","37.424295","-122.171222","-0.6307738423347473","0.0","8","0","2012-08-28T07:31:49.999Z",,,,
"1","79","37.424331","-122.171182","-1.2926424741744995","0.0","12","0","2012-08-28T07:32:06.999Z",,,,
"1","80","37.424338","-122.171238","-3.779654026031494","0.0","12","0","2012-08-28T07:32:57.999Z",,,,
"1","81","37.424371","-122.171281","-3.741919994354248","0.0","12","0","2012-08-28T07:33:06.999Z",,,,
"1","82","37.424417","-122.171299","-3.6729726791381836","0.0","12","0","2012-08-28T07:33:13.999Z",,,,
"1","83","37.424465","-122.171318","-3.62666392326355","0.0","24","0","2012-08-28T07:33:18.999Z",,,,
"1","84","37.424515","-122.171318","-3.588564157485962","0.0","12","0","2012-08-28T07:33:23.999Z",,,,
"1","85","37.424564","-122.171315","-3.521014928817749","0.0","12","0","2012-08-28T07:33:28.999Z",,,,
"1","86","37.424614","-122.171319","-3.4817826747894287","0.0","12","0","2012-08-28T07:33:33.999Z",,,,
"1","87","37.424667","-122.171308","-3.418219566345215","0.0","12","0","2012-08-28T07:33:38.999Z",,,,
"1","88","37.424707","-122.171281","-3.3300485610961914","0.0","12","0","2012-08-28T07:33:42.999Z",,,,
"1","89","37.424751","-122.17124","-3.220501661300659","0.0","12","0","2012-08-28T07:33:47.999Z",,,,
"1","90","37.424799","-122.171204","-3.1541402339935303","0.0","12","0","2012-08-28T07:33:52.999Z",,,,
"1","91","37.424838","-122.171173","-3.0966544151306152","0.0","12","0","2012-08-28T07:33:57.999Z",,,,
"1","92","37.424877","-122.171128","-3.0500667095184326","0.0","6","0","2012-08-28T07:34:03.999Z",,,,
"1","93","37.424925","-122.171102","-2.955077886581421","0.0","6","0","2012-08-28T07:34:09.999Z",,,,
"1","94","37.424973","-122.171088","-2.8714370727539063","0.0","8","0","2012-08-28T07:34:15.999Z",,,,
"1","95","37.425021","-122.171067","-2.817797899246216","0.0","6","0","2012-08-28T07:34:22.999Z",,,,
"1","96","37.425064","-122.171054","-2.7538459300994873","0.0","12","0","2012-08-28T07:34:28.999Z",,,,
"1","97","37.425113","-122.171047","-2.6953635215759277","0.0","8","0","2012-08-28T07:34:33.999Z",,,,
"1","98","37.425163","-122.171024","-2.6453857421875","0.0","6","0","2012-08-28T07:34:38.999Z",,,,
"1","99","37.425208","-122.171008","-2.5734620094299316","0.0","6","0","2012-08-28T07:34:43.999Z",,,,
"1","100","37.425252","-122.170998","-2.535698413848877","0.0","8","0","2012-08-28T07:34:47.999Z",,,,
"1","101","37.425296","-122.170973","-2.5005855560302734","0.0","4","0","2012-08-28T07:34:52.999Z",,,,
"1","102","37.425339","-122.170953","-2.4136133193969727","0.0","4","0","2012-08-28T07:34:57.999Z",,,,
"1","103","37.425388","-122.170926","-2.352034091949463","0.0","4","0","2012-08-28T07:35:02.999Z",,,,
"1","104","37.42543","-122.170905","-2.3453357219696045","0.0","4","0","2012-08-28T07:35:07.999Z",,,,
"1","105","37.425475","-122.170901","-2.317965269088745","0.0","6","0","2012-08-28T07:35:12.999Z",,,,
"1","106","37.425519","-122.170882","-2.2524421215057373","0.0","8","0","2012-08-28T07:35:17.999Z",,,,
"1","107","37.42557","-122.170868","-2.1221988201141357","0.0","4","0","2012-08-28T07:35:24.999Z",,,,
"1","108","37.425617","-122.170844","-1.9952898025512695","0.0","6","0","2012-08-28T07:35:29.999Z",,,,
"1","109","37.425665","-122.170826","-1.9102988243103027","0.0","6","0","2012-08-28T07:35:34.999Z",,,,
"1","110","37.425716","-122.170819","-1.8413527011871338","0.0","4","0","2012-08-28T07:35:39.999Z",,,,
"1","111","37.425765","-122.170808","-1.807930827140808","0.0","6","0","2012-08-28T07:35:44.999Z",,,,
"1","112","37.425812","-122.170806","-1.7428265810012817","0.0","6","0","2012-08-28T07:35:49.999Z",,,,
"1","113","37.425861","-122.170791","-1.6995383501052856","0.0","4","0","2012-08-28T07:35:54.999Z",,,,
"1","114","37.425911","-122.170768","-1.6280139684677124","0.0","8","0","2012-08-28T07:35:59.999Z",,,,
"1","115","37.425959","-122.170757","-1.5829827785491943","0.0","8","0","2012-08-28T07:36:03.999Z",,,,
"1","116","37.426009","-122.170742","-1.582404613494873","0.0","6","0","2012-08-28T07:36:07.999Z",,,,
"1","117","37.426053","-122.170721","-1.5758124589920044","0.0","6","0","2012-08-28T07:36:11.999Z",,,,
"1","118","37.426103","-122.170704","-1.5870070457458496","0.0","6","0","2012-08-28T07:36:16.999Z",,,,
"1","119","37.426152","-122.170681","-1.5707314014434814","0.0","6","0","2012-08-28T07:36:22.999Z",,,,
"1","120","37.4262","-122.17066","-1.5224837064743042","0.0","8","0","2012-08-28T07:36:27.999Z",,,,
"1","121","37.426253","-122.17065","-1.498950719833374","0.0","6","0","2012-08-28T07:36:32.999Z",,,,
"1","122","37.426301","-122.170641","-1.4574803113937378","0.0","6","0","2012-08-28T07:36:36.999Z",,,,
"1","123","37.426337","-122.170606","-1.3742324113845825","0.0","6","0","2012-08-28T07:36:41.999Z",,,,
"1","124","37.426373","-122.170551","-1.297027587890625","0.0","6","0","2012-08-28T07:36:46.999Z",,,,
"1","125","37.426409","-122.170501","-1.2696027755737305","0.0","6","0","2012-08-28T07:36:51.999Z",,,,
"1","126","37.426446","-122.170455","-1.247252345085144","0.0","6","0","2012-08-28T07:36:56.999Z",,,,
"1","127","37.426469","-122.170405","-1.1411752700805664","0.0","8","0","2012-08-28T07:37:01.999Z",,,,
"1","128","37.426488","-122.170351","-1.0377371311187744","0.0","8","0","2012-08-28T07:37:06.999Z",,,,
"1","129","37.42651","-122.170293","-0.9941908121109009","0.0","8","0","2012-08-28T07:37:12.999Z",,,,
"1","130","37.426531","-122.170241","-0.9656693935394287","0.0","8","0","2012-08-28T07:37:17.999Z",,,,
"1","131","37.426567","-122.170207","-0.9724736213684082","0.0","8","0","2012-08-28T07:37:24.999Z",,,,
"1","132","37.426615","-122.170211","-0.9586681723594666","0.0","6","0","2012-08-28T07:37:32.999Z",,,,
"1","133","37.426666","-122.170203","-0.9042801260948181","0.0","12","0","2012-08-28T07:37:39.999Z",,,,
"1","134","37.426714","-122.17019","-0.8580631017684937","0.0","8","0","2012-08-28T07:37:45.999Z",,,,
"1","135","37.426765","-122.170183","-0.778552770614624","0.0","8","0","2012-08-28T07:37:51.999Z",,,,
"1","136","37.42681","-122.170176","-0.6704410910606384","0.0","8","0","2012-08-28T07:37:57.999Z",,,,
"1","137","37.426853","-122.170161","-0.5570470690727234","0.0","12","0","2012-08-28T07:38:03.999Z",,,,
"1","138","37.426899","-122.170138","-0.4389054477214813","0.0","8","0","2012-08-28T07:38:08.999Z",,,,
"1","139","37.426949","-122.170124","-0.369351863861084","0.0","8","0","2012-08-28T07:38:12.999Z",,,,
"1","140","37.426994","-122.170155","-0.391872376203537","0.0","8","0","2012-08-28T07:38:15.999Z",,,,
"1","141","37.427049","-122.170173","-0.4842442572116852","0.0","6","0","2012-08-28T07:38:19.999Z",,,,
"1","142","37.427103","-122.170191","-0.5558164119720459","0.0","8","0","2012-08-28T07:38:23.999Z",,,,
"1","143","37.42716","-122.170204","-0.5979865789413452","0.0","8","0","2012-08-28T07:38:27.999Z",,,,
"1","144","37.42721","-122.170203","-0.6149406433105469","0.0","6","0","2012-08-28T07:38:31.999Z",,,,
"1","145","37.427263","-122.170198","-0.6342622637748718","0.0","8","0","2012-08-28T07:38:36.999Z",,,,
"1","146","37.427314","-122.170194","-0.6486837267875671","0.0","4","0","2012-08-28T07:38:41.999Z",,,,
"1","147","37.427357","-122.170173","-0.8062690496444702","0.0","8","0","2012-08-28T07:38:58.999Z",,,,
"1","148","37.4274","-122.170151","-1.1929817199707031","0.0","6","0","2012-08-28T07:39:27.999Z",,,,
"1","149","37.427396","-122.170209","-1.4419832229614258","0.0","6","0","2012-08-28T07:39:44.999Z",,,,
"1","150","37.427442","-122.170206","-2.2815358638763428","0.0","12","0","2012-08-28T07:40:44.999Z",,,,
"1","151","37.427483","-122.170184","-2.635821580886841","0.0","12","0","2012-08-28T07:41:01.999Z",,,,
"1","152","37.427477","-122.170124","-3.0793089866638184","0.0","12","0","2012-08-28T07:41:16.999Z",,,,
"1","153","37.427458","-122.170178","-4.964241981506348","0.0","12","0","2012-08-28T07:41:46.999Z",,,,
"1","154","37.427411","-122.170172","-5.729681015014648","0.0","6","0","2012-08-28T07:42:11.999Z",,,,
"1","155","37.427408","-122.170228","-5.869909763336182","0.0","6","0","2012-08-28T07:42:28.999Z",,,,
"1","156","37.427393","-122.170173","-6.215855121612549","0.0","8","0","2012-08-28T07:42:47.999Z",,,,
"1","157","37.427443","-122.170172","-5.339663505554199","0.0","8","0.8982","2012-08-28T07:47:04.999Z",,,,
"1","158","37.427494","-122.170168","-5.375749111175537","0.0","4","0.9038","2012-08-28T07:47:08.999Z",,,,
"1","159","37.427538","-122.170149","-5.243988037109375","0.0","8","0.888","2012-08-28T07:47:12.999Z",,,,
"1","160","37.427586","-122.170151","-5.260879039764404","0.0","4","0.7747","2012-08-28T07:47:18.999Z",,,,
"1","161","37.427632","-122.170138","-5.707633018493652","0.0","4","0.7934","2012-08-28T07:47:25.999Z",,,,
"1","162","37.427678","-122.17014","-5.832953453063965","0.0","6","0","2012-08-28T07:47:36.999Z",,,,
"1","163","37.427713","-122.170176","-4.625060081481934","0.0","8","0","2012-08-28T07:49:43.999Z",,,,
"1","164","37.427669","-122.170153","-4.83089542388916","0.0","6","0","2012-08-28T07:50:00.999Z",,,,
"1","165","37.427714","-122.17017","-4.570408344268799","0.0","6","0.8937","2012-08-28T07:51:30.000Z",,,,
"1","166","37.42776","-122.170149","-4.278703689575195","0.0","4","0.9402","2012-08-28T07:51:34.000Z",,,,
"1","167","37.427812","-122.170136","-3.7916321754455566","0.0","8","0.8168","2012-08-28T07:51:42.000Z",,,,
"1","168","37.427857","-122.170115","-4.187434196472168","0.0","6","0.8655","2012-08-28T07:51:45.000Z",,,,
"1","169","37.427901","-122.170094","-4.645665645599365","0.0","6","0.8865","2012-08-28T07:51:49.000Z",,,,
"1","170","37.427949","-122.17009","-5.012556552886963","0.0","4","0.8581","2012-08-28T07:51:53.000Z",,,,
"1","171","37.427995","-122.170058","-5.944440841674805","0.0","4","0.9307","2012-08-28T07:52:01.000Z",,,,
"1","172","37.428037","-122.170033","-7.333394527435303","0.0","6","0.7869","2012-08-28T07:52:09.000Z",,,,
"1","173","37.428065","-122.169987","-8.06216049194336","0.0","8","0.7071","2012-08-28T07:52:17.000Z",,,,
"1","174","37.428088","-122.170036","-7.695364952087402","0.0","4","0.8553","2012-08-28T07:52:48.000Z",,,,
"1","175","37.428137","-122.17003","-7.826481342315674","0.0","4","0.856","2012-08-28T07:52:55.000Z",,,,
"1","176","37.428181","-122.170014","-8.19636344909668","0.0","6","0.8812","2012-08-28T07:53:01.000Z",,,,
"1","177","37.42823","-122.169986","-8.435550689697266","0.0","6","0.8545","2012-08-28T07:53:08.000Z",,,,
"1","178","37.428277","-122.169986","-8.603495597839355","0.0","4","0.4593","2012-08-28T07:53:15.000Z",,,,
"1","179","37.428325","-122.170007","-8.183575630187988","0.0","6","0.6613","2012-08-28T07:53:23.000Z",,,,
"1","180","37.428369","-122.169969","-7.975916385650635","0.0","4","0.7265","2012-08-28T07:53:27.000Z",,,,
"1","181","37.428407","-122.169926","-8.124449729919434","0.0","4","0.7587","2012-08-28T07:53:32.000Z",,,,
"1","182","37.428459","-122.1699","-8.59330940246582","0.0","4","0.8548","2012-08-28T07:53:37.000Z",,,,
"1","183","37.428502","-122.169883","-9.089385032653809","0.0","6","0.8719","2012-08-28T07:53:43.000Z",,,,
"1","184","37.428549","-122.169858","-9.746439933776855","0.0","6","0.8567","2012-08-28T07:53:48.000Z",,,,
"1","185","37.428596","-122.169838","-10.275084495544434","0.0","4","0.861","2012-08-28T07:53:54.000Z",,,,
"1","186","37.428639","-122.169822","-10.328680038452148","9.735177993774414","4","0.9137","2012-08-28T07:53:57.000Z",,,,
"1","187","37.428684","-122.169821","-10.062132835388184","14.90080738067627","4","0.8974","2012-08-28T07:54:00.000Z",,,,
"1","188","37.428733","-122.169807","-9.51485824584961","28.81493377685547","4","0.8779","2012-08-28T07:54:05.000Z",,,,
"1","189","37.428776","-122.169785","-9.139670372009277","19.417959213256836","6","0.8619","2012-08-28T07:54:11.000Z",,,,
"1","190","37.428804","-122.169736","-9.66263484954834","48.08906555175781","4","0.7742","2012-08-28T07:54:23.000Z",,,,
"1","191","37.428838","-122.169695","-9.876704216003418","53.71167755126953","4","0.8066","2012-08-28T07:54:29.000Z",,,,
"1","192","37.428861","-122.169646","-10.080391883850098","62.91011047363281","6","0.8334","2012-08-28T07:54:35.000Z",,,,
"1","193","37.428892","-122.169592","-9.8789644241333","47.92210006713867","6","0.8348","2012-08-28T07:54:41.000Z",,,,
"1","194","37.42893","-122.16956","-9.944854736328125","39.42761993408203","4","0.9463","2012-08-28T07:54:45.000Z",,,,
"1","195","37.42897","-122.169511","-10.208404541015625","51.92579650878906","4","1.0841","2012-08-28T07:54:50.000Z",,,,
"1","196","37.428994","-122.169462","-10.399496078491211","51.75061798095703","4","1.0156","2012-08-28T07:54:55.000Z",,,,
"1","197","37.429009","-122.1694","-10.93936824798584","37.94172668457031","8","0.9483","2012-08-28T07:55:02.000Z",,,,
"1","198","37.429026","-122.169343","-11.239911079406738","69.83883666992188","6","0.8631","2012-08-28T07:55:08.000Z",,,,
"1","199","37.42906","-122.169305","-11.781001091003418","32.51219177246094","6","0.6308","2012-08-28T07:55:17.000Z",,,,
"1","200","37.429077","-122.169244","-11.393133163452148","74.68592834472656","6","0.7522","2012-08-28T07:55:23.000Z",,,,
"1","201","37.429108","-122.169202","-11.012569427490234","26.573564529418945","6","0.5666","2012-08-28T07:55:30.000Z",,,,
"1","202","37.429138","-122.169146","-11.143589973449707","55.15484619140625","4","0.5965","2012-08-28T07:55:36.000Z",,,,
"1","203","37.42916","-122.169094","-11.590093612670898","32.98613357543945","4","0.7618","2012-08-28T07:55:42.000Z",,,,
"1","204","37.429203","-122.169063","-11.639605522155762","31.688539505004883","4","0.8148","2012-08-28T07:55:48.000Z",,,,
"1","205","37.429245","-122.169042","-10.55178451538086","42.67338943481445","4","0.506","2012-08-28T07:55:55.000Z",,,,
"1","206","37.429283","-122.16901","-10.36913013458252","31.00644302368164","6","0.7669","2012-08-28T07:56:02.000Z",,,,
"1","207","37.429313","-122.168964","-10.602560997009277","19.549142837524414","4","0.817","2012-08-28T07:56:07.000Z",,,,
"1","208","37.429346","-122.168922","-10.989233016967773","25.575658798217773","6","0.8688","2012-08-28T07:56:13.000Z",,,,
"1","209","37.429393","-122.168898","-11.566431999206543","22.020952224731445","6","0.8769","2012-08-28T07:56:18.000Z",,,,
"1","210","37.429438","-122.168878","-11.576544761657715","24.073835372924805","6","0.8934","2012-08-28T07:56:24.000Z",,,,
"1","211","37.429484","-122.168871","-11.450428009033203","19.681169509887695","6","0.8786","2012-08-28T07:56:29.000Z",,,,
"1","212","37.429526","-122.168832","-11.66179084777832","35.40663528442383","4","0.8628","2012-08-28T07:56:34.000Z",,,,
"1","213","37.429566","-122.168807","-11.985343933105469","11.660737037658691","4","0.8834","2012-08-28T07:56:37.000Z",,,,
"1","214","37.429603","-122.168774","-12.520760536193848","32.75737380981445","4","0.9894","2012-08-28T07:56:42.000Z",,,,
"1","215","37.42965","-122.168766","-12.88857364654541","10.898700714111328","6","1.032","2012-08-28T07:56:47.000Z",,,,
"1","216","37.429702","-122.168756","-13.109970092773438","12.081708908081055","4","1.0304","2012-08-28T07:56:52.000Z",,,,
"1","217","37.429748","-122.16873","-13.099385261535645","28.206890106201172","4","0.9959","2012-08-28T07:56:57.000Z",,,,
"1","218","37.429785","-122.168698","-13.264601707458496","29.092615127563477","6","0.9571","2012-08-28T07:57:01.000Z",,,,
"1","219","37.429831","-122.168677","-13.478543281555176","14.835404396057129","4","0.844","2012-08-28T07:57:07.000Z",,,,
"1","220","37.429875","-122.168661","-13.969122886657715","10.334749221801758","4","0.6016","2012-08-28T07:57:13.000Z",,,,
"1","221","37.429921","-122.168651","-14.118172645568848","12.421133041381836","4","0.9647","2012-08-28T07:57:18.000Z",,,,
"1","222","37.429968","-122.168648","-14.308537483215332","6.182251930236816","4","1.0021","2012-08-28T07:57:23.000Z",,,,
"1","223","37.430014","-122.168663","-14.738368034362793","0.15445080399513245","6","0","2012-08-28T07:57:30.000Z",,,,
"1","224","37.430059","-122.168669","-14.918318748474121","0.15445080399513245","6","0","2012-08-28T07:57:37.000Z",,,,
"1","225","37.430015","-122.168693","-15.467275619506836","0.15445080399513245","8","0","2012-08-28T07:58:08.000Z",,,,
"1","226","37.43006","-122.168674","-16.080923080444336","346.473876953125","6","0.7452","2012-08-28T07:58:21.000Z",,,,
"1","227","37.430105","-122.168677","-16.79193687438965","283.3233947753906","6","0.623","2012-08-28T07:58:31.000Z",,,,
"1","228","37.430149","-122.16866","-16.811691284179688","122.30237579345703","4","0.6423","2012-08-28T07:58:40.000Z",,,,
"1","229","37.430122","-122.168716","-17.382627487182617","233.54637145996094","8","0","2012-08-28T07:59:09.000Z",,,,
"1","230","37.430166","-122.168731","-17.68115997314453","3.6610352993011475","6","3.1747","2012-08-28T07:59:15.000Z",,,,
"1","231","37.430213","-122.168724","-18.065120697021484","4.025993347167969","8","4.1283","2012-08-28T07:59:16.000Z",,,,
"1","232","37.430276","-122.16872","-18.44280433654785","2.2005386352539063","8","5.1575","2012-08-28T07:59:17.000Z",,,,
"1","233","37.430354","-122.168714","-18.8166446685791","0.7954248785972595","8","5.7662","2012-08-28T07:59:18.000Z",,,,
"1","234","37.430434","-122.168712","-18.96600914001465","359.0375061035156","8","6.0956","2012-08-28T07:59:19.000Z",,,,
"1","235","37.430515","-122.168717","-19.007640838623047","354.5600280761719","6","7.5891","2012-08-28T07:59:20.000Z",,,,
"1","236","37.430597","-122.168726","-19.05681800842285","354.14910888671875","6","7.5631","2012-08-28T07:59:21.000Z",,,,
"1","237","37.430665","-122.168735","-18.514446258544922","353.6068420410156","6","7.5852","2012-08-28T07:59:22.000Z",,,,
"1","238","37.430734","-122.168748","-18.416372299194336","352.3392028808594","6","7.0742","2012-08-28T07:59:23.000Z",,,,
"1","239","37.430801","-122.168762","-18.172483444213867","351.2071533203125","6","6.9018","2012-08-28T07:59:24.000Z",,,,
"1","240","37.43087","-122.168778","-18.27553367614746","349.5597229003906","6","6.8574","2012-08-28T07:59:25.000Z",,,,
"1","241","37.430935","-122.168799","-17.890445709228516","347.2269592285156","6","6.8759","2012-08-28T07:59:26.000Z",,,,
"1","242","37.430995","-122.168823","-16.76065444946289","345.0290832519531","6","6.4622","2012-08-28T07:59:27.000Z",,,,
"1","243","37.431056","-122.168845","-15.852791786193848","343.70965576171875","6","6.2953","2012-08-28T07:59:28.000Z",,,,
"1","244","37.431114","-122.168868","-14.422348976135254","343.1329650878906","6","6.5516","2012-08-28T07:59:29.000Z",,,,
"1","245","37.431171","-122.168891","-12.90710163116455","342.7623291015625","6","6.7911","2012-08-28T07:59:30.000Z",,,,
"1","246","37.43123","-122.168915","-11.846753120422363","343.2678527832031","6","6.6828","2012-08-28T07:59:31.000Z",,,,
